SUMLEV,REGION,DIVISION,state,county,Stname,ctyname,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,Births2010,Births2011,Deaths2010,Deaths2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,Rbirth2011,Rdeath2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011
040,3,6,01,000,Alabama,Alabama,4779736,4779735,4785401,4802740,5666,17339,14482,59866,11562,47768,2920,12098,1487,4461,1278,696,2765,5157,-19,84,115816,115825,115834,12.48750931,9.9639752899,2.5235340198,0.9305244885,0.1451793419,1.0757038304
050,3,6,01,001,Alabama,Autauga County,54571,54571,54637,55267,66,630,154,660,92,423,62,237,18,46,-13,344,5,390,-1,3,455,455,455,12.010481875,7.6976270199,4.3128548551,0.8370941913,6.2600087349,7.0971029262
050,3,6,01,003,Alabama,Baldwin County,182265,182265,183259,186717,994,3458,520,2109,411,1723,109,386,61,176,812,2870,873,3046,12,26,2307,2307,2307,11.400739507,9.3141176725,2.0866218349,0.9514130646,15.514519861,16.465932925
050,3,6,01,005,Alabama,Barbour County,27457,27457,27390,27119,-67,-271,76,292,69,316,7,-24,13,55,-86,-303,-73,-248,-1,1,3193,3193,3193,10.713827074,11.594415601,-0.880588527,2.0180153736,-11.11743015,-9.099414776
050,3,6,01,007,Alabama,Bibb County,22915,22919,22880,22766,-39,-114,56,225,52,215,4,10,2,10,-46,-135,-44,-125,1,1,2224,2224,2224,9.8584760987,9.4203216054,0.4381544933,0.4381544933,-5.915085659,-5.476931166
050,3,6,01,009,Alabama,Blount County,57322,57322,57387,57677,65,290,170,690,138,556,32,134,27,110,9,50,36,160,-3,-4,489,489,489,11.993325454,9.6641868873,2.3291385664,1.9119794201,0.8690815546,2.7810609748
050,3,6,01,011,Alabama,Bullock County,10914,10915,10893,10542,-22,-351,41,165,12,112,29,53,0,-1,-51,-407,-51,-408,0,4,1690,1690,1690,15.395381386,10.450198274,4.9451831117,-0.093305342,-37.97527408,-38.06857943
050,3,6,01,013,Alabama,Butler County,20947,20947,20941,20650,-6,-291,60,258,46,248,14,10,1,1,-19,-305,-18,-304,-2,3,333,333,333,12.406530259,11.925656993,0.4808732659,0.0480873266,-14.66663461,-14.61854728
050,3,6,01,015,Alabama,Calhoun County,118572,118572,118426,117797,-146,-629,324,1385,341,1344,-17,41,15,57,-142,-727,-127,-670,-2,0,2919,2919,2919,11.726207863,11.379078244,0.347129619,0.4825948362,-6.155200806,-5.67260597
050,3,6,01,017,Alabama,Chambers County,34215,34215,34143,33939,-72,-204,94,373,110,461,-16,-88,4,20,-59,-136,-55,-116,-1,0,458,458,458,10.95737493,13.542492876,-2.585117946,0.5875268059,-3.99518228,-3.407655474
050,3,6,01,019,Alabama,Cherokee County,25989,25989,25997,26057,8,60,48,202,81,295,-33,-93,2,6,40,147,42,153,-1,0,290,290,290,7.7611710916,11.334383525,-3.573212433,0.2305298344,5.6479809429,5.8785107773
050,3,6,01,021,Alabama,Chilton County,43643,43642,43722,43895,80,173,135,569,108,437,27,132,10,52,44,-9,54,43,-1,-2,393,393,393,12.98834701,9.9752331169,3.0131138934,1.186984261,-0.205439584,0.9815446774
050,3,6,01,023,Alabama,Choctaw County,13859,13858,13851,13609,-7,-242,33,132,21,170,12,-38,1,3,-19,-210,-18,-207,-1,3,129,129,129,9.6139839767,12.381646031,-2.767662054,0.2184996358,-15.29497451,-15.07647487
050,3,6,01,025,Alabama,Clarke County,25833,25840,25776,25695,-64,-81,58,264,66,309,-8,-45,1,4,-57,-39,-56,-35,0,-1,280,280,280,10.258203649,12.006761089,-1.74855744,0.155427328,-1.515416448,-1.35998912
050,3,6,01,027,Alabama,Clay County,13932,13932,13935,13862,3,-73,32,137,46,196,-14,-59,2,5,17,-17,19,-12,-2,-2,255,255,255,9.8571788322,14.102241249,-4.245062417,0.3597510523,-1.223153578,-0.863402525
