c Random Network
p max 10000    6000
n         1  s
n     10000  t
a    1326    3929       4
a     149    3615       2
a    6404     102       6
a     639    3784       8
a    7735    4142      10
a    8139    9379       5
a    5596    7730       3
a    1411    1032       4
a      34     187       4
a     125    1304       9
a    3543    5877       9
a    2922    5284       4
a     438     790       7
a    1720    3520      10
a    8735    4443       5
a    7962    4588       1
a    8154    6640       5
a    6055    1086       2
a    4278     706       6
a    1235    1740       5
a    1925    2238       6
a     829    7368       9
a    4348    8068       2
a      44     273       7
a     175     362       1
a     402    2349       8
a    1235    8765       3
a    8883    4177      10
a    6602    9548       6
a    2090    6104       5
a    5591    2730       1
a     654     764       5
a    7418    1092       1
a     610    1060       4
a    5843    1083       1
a     138     144       7
a    1731     583       3
a    6051    4044       8
a    4794    9176       5
a     673    2951       7
a      31     195       2
a     357     585       2
a      15      17       1
a     167     312       4
a    1646    7439       8
a    8665    8090       8
a    1674    2455      10
a      14    6058       6
a     198    6738      10
a    4979    6947       2
a    8921    5553      10
a    9685     312       4
a     164     203      10
a    4676     141       3
a    2057    4194       2
a    8557    2611       7
a    4148    5401       1
a    9441    9169       1
a     934    6713       2
a    2891    1150       6
a    4216    3934       9
a    8333    3843       9
a    1555    7907       4
a     379    1130       5
a    1003    1406       7
a     794     897       5
a    2996    2435      10
a    3995    2824       1
a    9957     889       9
a    3825    6312       7
a    1066    9265       3
a     451     698       4
a     484    3610       8
a    2777    7825       7
a    6381    4386       2
a      65     146       1
a    1668    4621       4
a     597    2222      10
a    3913      98       9
a    5550    6339      10
a    7188    1887      10
a    5833    8023       7
a    5728     645       2
a    5139     422       1
a    7413    5694       2
a     772    2829       8
a      76     342       2
a    4389     355       8
a    4145      11       2
a    1920    5709       5
a    3882    7878       9
a    3626    2500      10
a     512    1325       9
a    5199    8403       5
a    1469    4118       2
a    4187    7235       6
a    6444    9155      10
a    7521    7900       7
a     770    1001       5
a    5276    6886       6
a    1174    1224       5
a    2169    8656       2
a    5330    8729      10
a    4510     436       4
a    4360    6056       9
a    9594    3489      10
a    4973    1064       8
a    1981    8074       5
a     156     669       6
a    1707    2712       4
a    2771     172       6
a    3071     400      10
a     104    2086       1
a    3142    5797      10
a     793    5820       6
a    4524    3412       5
a       2      56       9
a    9813    8299       8
a    4273    2745       2
a    2606    9253       5
a      21      87       4
a    1210    1271       1
a    1864    1428       4
a     244    4314       5
a      33     586       5
a    1139    2027       4
a    8895    8627      10
a    4187     224       4
a      12      16      10
a    2862    6971       1
a    4074    1456       5
a    7406    7799       9
a    7848    2104      10
a    4148    6388      10
a    9112    6618       4
a    9043    7323       6
a    9485    9070       7
a    7539    1767       9
a    1465    1630       6
a    7085    3474       4
a    8475    4311       9
a    8312    2891      10
a      17      28       1
a     110    3616       6
a     219    8509       2
a    5454    9622       6
a    2073    6763       6
a     996     637       8
a    9452    2326       3
a      31      97       7
a     176     256       7
a     334     181       6
a    1311    5812       3
a      90    1631       4
a    2130      95       2
a    4309     347       5
a    6801     920       9
a    3384    8413       7
a    4907    4744       5
a    9702    5061       2
a     620    2485       2
a    3509      14       8
a    3266    5888       4
a    4314    8155       1
a     310    5195       6
a    1247    1429       4
a    4880     926       8
a    9181    8900       9
a    1635    1753      10
a    1432    2227       2
a    1797    4427       8
a    1507     651       5
a     393     460       8
a    1072     391       7
a     231    2698       3
a    1113    3357       4
a     684    2439       9
a    5675    2255       6
a    7634    3478       2
a    1500    8893       1
a    3336    7220      10
a    2610    3141       1
a      19      78       8
a     148     410       8
a     630     324       3
a    2566    7575       5
a    5322    6861       3
a    6248    9946       1
a    9495    5048       4
a    1533    1700       9
a    2417     141      10
a     518    6131       8
a     563    6321       2
a    2821    1753      10
a    6880     910       6
a    2067     497       9
a     232     341      10
a     662     829       2
a    3925     322       7
a    6889    5374       9
a    1303    2174      10
a    5015    1317       2
a    6022    7062       3
a    7879    8267       2
a    5682    3790       9
a    2938    2004      10
a    8337    4429       1
a    1424    1611       9
a    6734    6017       9
a     464    4177       4
a     754    8074      10
a     197    1909       8
a     763     827       9
a    1549    7906       1
a    3105    8578       3
a    6485    4470       8
a    5315    7761       9
a    9416    5433       6
a     672    1769       8
a    2625    3661       8
a    3738    1610       5
a    1197    7313       4
a    8108    9059       5
a      85     336       2
a    3490    4345       4
a    5157    4527       8
a    2091    6965       2
a    8743    3534       3
a    1274    3342       1
a     111    1130       8
a      91     512       2
a     773    1508       9
a    1110    2159       7
a    2246    6408       8
a    4496    6767       8
a     840     327       8
a    7862    1603       7
a    5043    1386       6
a    6234    3281       5
a      55     407       7
a     255     348      10
a     123     736       2
a    1326    8351       7
a    2767    9548       1
a    6798    9996       7
a    9098    7862       9
a     952     131       9
a    5396    5838       2
a    9098    7486       4
a     266     412       3
a     928     986       9
a    3096    5635       8
a    2323    1828       2
a    3102    1886       4
a    9186    4613       5
a    1001    7029       7
a     583    3031       5
a     382     514      10
a    1499    4788       8
a    6748     967       9
a    9222    9904       2
a      38      87       7
a    2453    4839       7
a    6524     860       8
a    1674    5575       7
a     562     920       6
a    1170    8693      10
a    1560    7686      10
a    4164    6219       5
a     130     296       7
a    2145    8280       6
a    7269    1009       7
a    2560    3203       8
a    7832    1140       1
a     468     991       2
a    7061    3184       7
a    9660    9336       8
a    1167     547       4
a    4337    6429       5
a    1774    5948       7
a     149     489       8
