c Random Network
p max   100     400
n         1  s
n       100  t
a      74      44      94
a       2       4      67
a      34      45     100
a       4      35      14
a      25      28      62
a      34      26      91
a      10      90      25
a      13       3      77
a      58      24      19
a      22      34      52
a      61      34      20
a       3      12      48
a      80      54      80
a      13      86      20
a       2       5       7
a      44      34      41
a       5       1      32
a       8      13      87
a      20      31      90
a      90       3      74
a      37      47      69
a      65      54      82
a      89      66       1
a      40      36      16
a       1      19      40
a       3       4      55
a       3      11      35
a      61      85      72
a      47      66      70
a      82      87      59
a      33      74      75
a      81      91      75
a       2      12       7
a      25      45      30
a      20      18      56
a       3      21      63
a       9      10      26
a      25       3      37
a       3      63      23
a       1       3      64
a       4      13      50
a       5      68      14
a      38      73      56
a      64      96      60
a      65      89      30
a      14      37      81
a      97      53      56
a       6      30      36
a      10       9      41
a      13       9      83
a      15       6      47
a       7       1      13
a      37      73       6
a      50      62      33
a      99       1      58
a      71       1      59
a      95       7      91
a       1      34      92
a      45      67      22
a      96       3      15
a       7      39      84
a       1       2      66
a       4       3      12
a      13      85      93
a       3       1       5
a       7      66      63
a      21      92      73
a      33      82      82
a      43      82      32
a      64      47      54
a      98      90      37
a      65      28      34
a       2      73      41
a      20      35      55
a      71      31      25
a      10      32      47
a      94      99      37
a      13       8      27
a     100      13      79
a       7      18      81
a      40      71      64
a      85       1      44
a      18       7      67
a      12      10      68
a      59      32      38
a      11      97      97
a      35      26      17
a      94      63      10
a      87       1      47
a       9      16      10
a      37      29      14
a      68      78      64
a      81      96      47
a       3       5      25
a       3       6       1
a      11      21      44
a      34      12       6
a      36      32      18
a      86      44      26
a      53      87       8
a      48      13      93
a      48      25      43
a      97      37      82
a      11      17      77
a      89      86      57
a      49      52      53
a      49      59      86
a       6      15       1
a      24      43     100
a       8      25      70
a      29      13      17
a       4       9      37
a       6      10      48
a      45      95      17
a      61      76      56
a      11      10      15
a      23      63      67
a      19      53      21
a      19      56      71
a      36      35      64
a      63       8      90
a      74      25      58
a      54      77      50
a      57      81      61
a      28      54      79
a      61      23      74
a      12      23       8
a      27      36      72
a      60      72      37
a      35      51      92
a      54      11      24
a      57      15      79
a       2       3      55
a      75       7      42
a      39      83      64
a      18      36      63
a      61       5      79
a      34       3      28
a      16      96       5
a      33      30      82
a      33      38      27
a      10       1      20
a      40      45      48
a       4       8      14
a      36      73      28
a       1       4      18
a      12       4      13
a      14       9       9
a     100      35      33
a      86      43      78
a      59      43      75
a       4       2      34
a      23      12      63
a      85      44      75
a      28      56      48
a       7       9      64
a      35      52      58
a      70      93      54
a      93      41     100
a      73      17      68
a       4       6      47
a       4       5      73
a       5      15       4
a      26      38      57
a       7      14      82
a      35      31       5
a      47      62      96
a      75      33      45
a      58      15      12
a      94      75      94
a      87      60      28
a       2       1      92
a       4      12      84
a      22      19      14
a      27      38      16
a      55      35      23
a      50      79      84
a       9       1      53
a      39      12      68
a      73       8      89
a       1       5      81
a      28       9      33
a      58      26      40
a      29       2      17
a      75       6       3
a      89      40      45
a      15      64      68
a      58       5      28
a       9      22      12
a       3      34      93
a      87      10      97
a       2      49      28
a      14      48      83
a       8      19      35
a      13      59      93
a      35      82      59
a       8      58      81
a      54      85      41
a      31      10     100
a      78      94      41
a      25      84      48
a      70      82      70
a       2      10      60
a      47      96       7
a       6      34      63
a       1       9      19
a      27      87      47
a       5       7      44
a      11       4      89
a      98       8      26
a      28      25      69
a      13      61      95
a      16      97      73
a      16      90      73
a       1      72      82
a      60      32      30
a       5       3      38
a      88      91      20
a       3      70      97
a       9      13      29
a      19      54      25
a      17      25      97
a      37      46       2
a       8      83      19
a      42      96      97
a      22      96      98
a      25      20      32
a       3       2      26
a      29     100       9
a       8      33      20
a      35      30      16
a       4      95      69
a      84      63      33
a      58      72      82
a      12       6      39
a      44       8      99
a      23      13      54
a     100      93      54
a      56      41      50
a      91      10      16
a      11      58     100
a      29      67      73
a       7      68      98
a       9      75      22
a      75      92      96
a      93      61      60
a      30      31     100
a       5       6      77
a      11      30      36
a      49      22       7
a      59      53      20
a       9      80      63
a      46      99      58
a      50      37      68
a      21       8      67
a       3      29      48
a       3      88       5
a      17      29      22
a      13      51      34
a      38      86      49
a      82      33      38
a      20      70      43
a       6       5      29
a      30      48      62
a      94      83      97
a       7      53      50
a      64      21       4
a       6       9      71
a      80      33      69
a      98      51      26
a      11       1      23
a      92       1       7
a      69      29      36
a      99      98      33
a       4       7      84
a      51      88      45
a      75      78      30
a      81       1      92
a      62      38      71
a       8      16      69
a      41      49      27
a      38      42      82
a      22      66      77
a       5      22      88
a      27      30      67
a      40      87       4
a      78     100      95
a      87      40      52
a      32      75      92
a      61      84      46
a      26       9      85
a      41      55       1
a      24      10      39
a      55      95      55
a      85      75      63
a      87      91      69
a      67      24      93
a      15      24      58
a       7      27      90
a      32      58      68
a      23      26      79
a      49      28      87
a       6       3      72
a      14      13      28
a      20       7      74
a       3      89      58
a       5       2      39
a      35       8     100
a      12      24      18
a      69       7      11
a      96       9      61
a      63      39      22
a      84      30      43
a      24      52      33
a      80      26       9
a      10      16      78
a      21      34      18
a       5      14      40
a      18       1      14
a      36      10      38
a      79      56      25
a      85      59      39
a      64      32      27
a      75      83      71
a       2      67      10
a      60      66      81
a      14       8      83
a      54      50      57
a      12       2      37
a       2      11      97
a      61      70      83
a      37      21      98
a      19      64      18
a       9       7       9
a      11      39      84
a      43      34      29
a       3      14      74
a      49      18      85
a      33      91      89
a      21      93      47
a      15      46      93
a      34     100       9
a      63      12      40
a      70      34       9
a      39      63      57
a      10      19      78
a      54      47      95
a      20      48      45
a       8      15      84
a      12       3      89
a      71      48      71
a      68      96      38
a       6      18       4
a      88      46      62
a      48      44      99
a      30       1      20
a      24      23      46
a      71      72      79
a      99      44      92
a      61      52      34
a      29       3      11
a      64      67       9
a      72      15      61
a      26      24      43
a      29      46      36
a      94      37      64
a      95      71      99
a      45       8      54
a      85      53      95
a      94      78      74
a      74      65      83
a      50      25      42
a      25       4      53
a       7       5      17
a      25      42      66
a      47      24       1
a      80      13      66
a      88      17      28
a      18      30      30
a      45      10      96
a      95      18      36
a      98      12      20
a       1      30      65
a      99      39      50
a       1       6      98
a      20       8      53
a      28       8      47
a      91      49      69
a      72      12      33
a      28       4      91
a      39       8      28
a      58      34      23
a      27      88      21
a       3      18      41
a      14      18      50
a      66      38      85
a      76      66      83
a      35       1      37
a      89      88      92
a       7      31      40
