c Random Network
p max  1000   10000
n         1  s
n      1000  t
a     891     389      58
a     155     799      81
a      64      78      97
a     608     271      90
a     680     471      15
a     791     143      63
a     698      19      93
a     106     404      60
a     146      13       5
a     701     569      24
a     604     635      52
a     929     722      63
a     896     583      49
a       1       2      68
a      17      48      52
a      29      63      16
a     535     672      50
a     294     665      91
a      11      21      49
a     853     773      40
a     785     429      88
a      83     515       3
a     560     153      33
a       5     425      26
a     676     437       9
a     850     452      96
a     357     694      95
a       3     279      28
a     133     219      63
a     546     881     100
a      77       2      76
a     713      54      63
a     585     290      11
a       2       8      12
a     119     131      73
a     296     405      90
a     533     455      73
a     330     686      26
a     237     287       7
a       4      47      30
a     979     101      74
a     496     634       4
a     107     335      71
a     969      73      45
a     529      71      71
a     967     581      82
a     174     681       8
a     509     733       4
a     913     506      97
a     868     667      66
a     236      99      22
a     268     195      55
a     151     198      89
a     196     198      23
a     457     460      47
a     407     210      27
a     482     269      65
a     828      30       8
a      89      93      31
a     385     441      80
a     694     998      14
a      44     262      16
a     273     505      12
a     868      69      91
a     276     653      80
a     370     142       4
a     141     180      52
a     562      69      15
a     543     977      93
a     926     347      25
a     456     191      45
a     840     306      39
a      79     234      11
a     302      35      36
a     437     780      62
a     661     320      42
a     167     219      48
a     197     838      76
a     162     142      42
a     358     708      35
a     983     660      23
a      65     130      66
a     356      58      87
a     262     777      65
a     612     866      93
a     336      63      77
a      95     189      39
a     418     387      30
a     551     377      94
a      91      61      47
a     247     915      26
a     185     325      82
a       9      28      34
a     246     276      21
a       5     426      67
a      15     694      34
a     895      83      59
a     581     903      45
a      21      37      82
a     859     324      36
a     750     276       3
a       2       1      66
a     125      12      18
a       4     570      23
a     847      63      30
a     933     151      37
a      55     117      21
a     148      50      75
a     566     655      51
a     142     656      49
a     539     838      80
a     135     264      64
a       2      16       6
a     115     143      28
a     584     888      72
a     527     974      99
a     508     210      68
a      80     471      80
a     631     531      36
a     155     180      14
a     305     360       5
a     470     406      65
a     968     859      91
a     998     391      61
a       5      79      47
a      99     127      21
a     222     528      86
a     870     573      53
a     971     121       9
a     753     359      77
a       2      14      49
a     226      16      39
a     156     104      39
a     766     331      29
a     433     316      44
a      19      66       8
a      18     270      22
a      13      30      56
a      45      61      17
a      90       4      76
a     222      11      41
a     592     182      23
a     972     566      91
a       2      19       6
a      20     408      17
a      30     779      67
a     327     128      82
a       7      18      68
a     804     192      45
a      18      41      48
a      77     651      99
a     526     236      89
a     104     735      47
a      60      70      29
a      82     162      77
a     257     593      90
a     827     589       8
a      17     391      41
a       8      20      51
a     102       1      33
a     749     882      74
a     300      11      93
a     505     205      34
a     148     434      60
a     698     160      55
a     681      49      74
a     972     228      15
a     138     334      73
a     973     384      90
a      90     113      70
a     123      10      67
a     366      34       1
a     935     540      57
a     509     235       1
a      16      25      28
a     909     160      33
a       3       9      61
a      29      64      19
a     210      25       6
a     259     782      72
a     655     584      47
a     618     676      64
a      18      43      67
a     100     393      43
a     161     855       4
a     673     197      39
a     426     546      93
a     689     527      37
a       5     108      93
a     134     469      44
a     682      59       7
a     201     545       7
a      51      83      15
a     272       5      52
a     905     379      86
a      42     170      47
a      33     499      39
a     112     698      59
a     124      21      39
a      21      31      42
a      43      52      69
a     141      74      53
a     543     188       4
a     601     730      81
a      43      79      29
a     254     247      92
a      49     193      93
a     324      70      58
a     831     469      53
a     726     971      32
a     948     157      76
a      49      69      31
a      73     178      81
a      89     866      17
a     378     609      17
a     378     284      71
a     248     562      73
a     453     171      49
a      26     104      52
a     206     352      21
a     316      51      72
a     891     391       6
a     458     785      17
a      91     112      62
a     225     324      74
a     624     165       5
a     177     106      66
a     555     702      86
a     999     490       3
a       8      13      26
a      32     145      18
a     989     782      94
a     571     380      75
a     522      48      78
a      92     171      75
a      31     416      38
a     437     676      84
a       9      42      23
a      14     213      31
a     244       6      41
a     979     511      58
a     468     731      52
a       3      11      38
a      25     459      71
a     296      46      79
a      29     134      85
a     314     417      35
a     457     734      92
a     556     982      17
a     145      95      54
a      65      66      60
a      86     311      82
a     310     367      90
a     794     469      91
a     759     660      54
a      42     175      86
a     216     326      12
a      11      14       4
a      18      32      23
a      76       9      85
a     345     146      73
a     373     850      18
a       4       9       5
a     100     108       4
a      82     378      85
a     255     241      36
a     751     466      32
a     535     366      64
a      81     138      72
a      49      62      62
a     747     432      67
a     334     508      13
a     257     387      76
a      41     422      31
a     537     924      93
a       3       5      86
a      26      54      84
a     291     674      73
a     570     144      53
a     573     408      51
a       7      15      24
a      27     122      27
a     196      11      18
a     591     573      53
a     220     483      76
a     665     493      45
a      78     494      26
a      60      73      49
a      97      10      18
a     288     180      76
a     402     197      13
a     500     929      45
a     226     231      22
a      30      46     100
a     464     359       8
a      55      99      90
a     190      48     100
a     690     594      19
a     576     901      33
a     777     789      96
a     117     223      91
a     437      50      52
a     251     234      92
a     942     425      99
a     666      51      63
a     758     124      66
a     785      53      13
a     495     537      33
a      45      56       3
a     461     108       3
a      34     802      53
a     179      88      64
a     703     806      81
a     476     656      63
a     750     338       8
a     766     692      44
a     135     221      14
a     510     371      50
a     948     748      54
a     123     732      42
a     718     741       4
a     744      33      76
a      66      96      31
a     192     696      65
a     265     301      77
a     503     645      84
a     188     230      60
a     720      18      63
a     215     524      70
a     576     168      38
a      83     110      89
a      39     309      21
a     119     718      49
a      48      56      50
a     188     115      42
a     547     540      89
a     112     671      52
a     479     807      55
a      50      67      39
a     256      95      55
