c Random Network
p max  1000    8000
n         1  s
n      1000  t
a     226      72      94
a      87      91      91
a     576     889      96
a     431     350      94
a      32      58      81
a     484      37      21
a      63     961      24
a     892     954      23
a     336     363      93
a       3      84      53
a     718     473      83
a      53     262      86
a      51     288      46
a     418     446      48
a     624     561      12
a     702     825      38
a     575     464      79
a      54     116      59
a     274     935      74
a     262     219      97
a       8      67      85
a     107     238      84
a     195     620      77
a     272     413      19
a     172     205      64
a     291      21      31
a     272     836      86
a     795      32       8
a     228      21      95
a     476      70      23
a     160     186      77
a     224     598       4
a     314     770      72
a      49     200      40
a     525      67      17
a     613     113      47
a       1       5      54
a     302      30      48
a     841     561      48
a     616     615      18
a     258     387      13
a     638       9      28
a     676     365      67
a     898     531      77
a      53     186      59
a     757     491      64
a       4      40      73
a     471      60      46
a       4      59      76
a      64     379      62
a     862     340      45
a     383     731      67
a      10     932      69
a     570     939      91
a     635     976      94
a     982     358      84
a     170     233       1
a     636      13       1
a     341     192      65
a     848     108      88
a      54     180      86
a     324     600      12
a     879     201      52
a     453      88      80
a      14      23      69
a     736     853      99
a     436     127      69
a     197     643      63
a     665     832       9
a     460     436      88
a     877     799      85
a      49      56      24
a      59      51      43
a     911      20      95
a     328      52      46
a      52     657      80
a     314     708      42
a       1      17      86
a      65     282      63
a      83     132      19
a     194     393       8
a     570     418      62
a     413     400      74
a      94     119      22
a     140     858      36
a      27      55      69
a     118     260      48
a     289     139      65
a     626     155      56
a      19     211       1
a     118     281      49
a     760     938      65
a     781     184      83
a     213     738      88
a      17      20      68
a     420     279      15
a     489     253      56
a     682     165      93
a     975     280      94
a     115     167      55
a     272     117      62
a     660     591      58
a     187     730      63
a      49      93      45
a      97       3      77
a     537     547      74
a     218       7      86
a      70     576      73
a     799     701      36
a      23      51       7
a      56     114      22
a      50      51      77
a      92      15      82
a     966     519      71
a     180     166      40
a      69      58      42
a     215     126      84
a       8      38      35
a     781      12      54
a     489      68      58
a     573     227      52
a       5       7      25
a     352      74      53
a     631     861      33
a     457     109      35
a     884     738      40
a     307     352      24
a      71     101      81
a     190      32      75
a     820      35      67
a       5       8     100
a     161      23      80
a     784     829      21
a     840     206      38
a      21      44      83
a     142     452      50
a     758     194      92
a     179     865      38
a     259     390      22
a     363     521      94
a      48      91      56
a     357     391      44
a       2      31      38
a      49     191      48
a     557     282      68
a     383     292      63
a     485      25      73
a     730     506      22
a      11      70      76
a     433     824      28
a     194     415      13
a     792     429      19
a     138     167       5
a      82      30       8
a     275     787      89
a     795     395      53
a     199     365      88
a      42     144      56
a     127     176      77
a     314     111      39
a      30     326      92
a     647     166      60
a     199     337      80
a     699     396      42
a     115     190      45
a     926     779      31
a     376      54      93
a     634     113      12
a      41     177      78
a     700     441      96
a     431     362      11
a     906     863      24
a     117      56      65
a      29      81      49
a     440      85      71
a     478     456      79
a      70     414      67
a     528     149      96
a     998     708       3
a     361     804      23
a     511     690      96
a      11     114      33
a     882     312      92
a     128      48      71
a     511     156      55
a     162     452      83
a     345     463      86
a     114     254       4
a     410     663      81
a      23     166      80
a     865     937      49
a      19      21      13
a     722     713      78
a      18     298      52
a     521     821      92
a       7      43      19
a      18      46      29
a     468     860      42
a     489     927      66
a      91     384      31
a     541     397      23
a     275     737      11
a     246     589      29
a      56     722      65
a      80     437      79
a      47      43      59
a     636     561      91
a       8      17      95
a     787     806       8
a     587     529      60
a      95     261      46
a     301     122      76
a       1       3      51
a     492      79      51
a     807     857      79
a     263      69      18
a      11      83      29
a     476     660      77
a      12      98      43
a     384     546       5
a     367     104      51
a     174     452      58
a     234      70      91
a       1       2      12
a     612     574      83
a      23      91      56
a     302     506      71
a      19      92      40
a     756      27      60
a       7      12      58
a      59     488      73
a      21     385      23
a       2      23      16
a      47     235       2
a     145     379      90
a      33     115      13
a     515     347      37
a     255     319       8
a      50     292      72
a     577      32      84
a       1      12      13
a      14     108      48
a     456     640      77
a     767     321      87
a     143     162      18
a     394     338      77
a     885     153       5
a     558     777      32
a     187     218      21
a     668     325      86
a     606     947      75
a     156     521       2
a     174     735      69
a     144      42      45
a     745     781      83
a     840     527      78
a     112     382       4
a     477     246      76
a     481     504      70
a     700     922       1
a     600     464      82
a     196     856      43
a       4     184      11
a     676     405      72
a      19      35      77
a     596     461      32
a     820     955       8
a     630     585      99
a     961      76      30
a     274     318      38
a      34     113      27
a     638      64      68
a      35      60      96
a     969     316     100
a     156     146      62
a     789     571      92
a      14      35      30
a     726      69      97
a      65     122      72
a      23      55      78
a      61      38      40
a     294     286      21
a     847     986      17
a     159     652      17
a     195     985      85
a      67     120      22
a      28      63      72
a     806     656      64
a      53      61       5
a     266     695      13
a     207      21      81
a     732     883      62
a       5      54      50
a     894     424      22
a      64     618      35
a      22     100      18
a     119      55      54
a     781     790      66
a     499      34      27
a     167     418      83
a      43      46      59
a     680     899      80
a      92     294      23
a     123     184      10
a     296     710      87
a     826     401      58
a     794     335      81
a      28     124      70
a     154     256       4
a     885     312       4
a     627     518      65
a      60     340      27
a      66     597      39
a     563     825      25
a      10     798      78
a     139     328       8
a     201     251      70
a     352     202      97
a       9      27      86
a      73      76      69
a      36     971      18
a     561     239      47
a      22     200      44
a     619     448      14
a     706     348      17
a     804     779      68
a     200      41       8
a     205     125      65
a      61     159      25
a     905     612      96
a      51     227       3
a     243     296      83
a     629     211      81
a     560     804      96
a     160     100      38
a     864     958      74
a     109     125     100
a     327     977      20
a     209     231      95
a     793     266      74
a      97     122      53
a     984     499      52
a     913     231      80
a      64    1000      93
a      21      45      56
a     127     440      49
a     495     446      26
a     101     105       2
