c Random Network
p max   500   10000
n         1  s
n       500  t
a     417     205      30
a      71     493      26
a      97     136      96
a     317     112      82
a     214      27      19
a     285     362       7
a      37     250      11
a      74     110      11
a      76     300      96
a     463      31      31
a     439     128      65
a     489     462      91
a     447      25      53
a      54     142      75
a      13      30      76
a      93     165      44
a     128     452      67
a      72     343       6
a      32      61      30
a     297     390      89
a     443     138      41
a       8      51      18
a      61      52      48
a     155     114      92
a     171     182      16
a     493     218      15
a       1       4      38
a       5      43      16
a     369     460      48
a     313      39      79
a     260     141       9
a     448     219      64
a      17      28      78
a     250      58      10
a      86     321      77
a      21     367      90
a     468     490      90
a       8      33      12
a       6      27      29
a      17     112      23
a     497      77      90
a       7     150      95
a     165     146      86
a     440     203      35
a     458     245      49
a     208     396      37
a       2      12      57
a      12     122      24
a      67     358      77
a     251     333      21
a      43      41      72
a     252     118      12
a      44      45      14
a      18       9      94
a      49     295      36
a     166     170      58
a     293      38      85
a       5       7      18
a     117      80      62
a       1       2      40
a       7      80      63
a     106       9      22
a     236     150      17
a      65      77      90
a     469     471      56
a     177     268      27
a     294      40      29
a     315     152      81
a     352     198      92
a      17      33      30
a     236     297      13
a     216     231      44
a     231     164     100
a     109      59      38
a     417     373      92
a      13      17       8
a      21      28      71
a     276     204      29
a     266      41       6
a       9      11      54
a      24     186      38
a     191     445      58
a     333     429      84
a     413     162      47
a      17     150      98
a     178       1      48
a     196     195      53
a     340     491      88
a       6       9      51
a     496     438      24
a       9       6      35
a     118     207      72
a     314     127      40
a     145     376      82
a     499      56      12
a     128      35      67
a      14      76      71
a     322      50      97
a      15     392      56
a       6      13      87
a      21     144      75
a     177     206      25
a     393     378      15
a     198     300      90
a      57      81      68
a     173     192      12
a     210     428      60
a     456      99      84
a     203     244      62
a     449     257      42
a      95     344      96
a     400     143      59
a     135     474      46
a     409     333      40
a      26      62     100
a      75     433      53
a     323     484      37
a      17     482       6
a      19       8      86
a     217      49      50
a     417     466      93
a       6      18      43
a      52      74       5
a      21     139      85
a      48     292      49
a     240      58      24
a       5      13      90
a     189     302      18
a       3       4      48
a      31       2      73
a      63      30      35
a     282     150      33
a     363     310      12
a       8      27      17
a      30      42      18
a     483     415      63
a       2     122      36
a     482     341      55
a     184     218      75
a     377     293      94
a       4      16      29
a     117     189      42
a      30      86      56
a     365     482      46
a     361     253      60
a      52      72      83
a     197     236      80
a     260     290      31
a      15      13      41
a     111      76      59
a     378     219      80
a       2       7      34
a      40      41     100
a     233      81      52
a     186     185      87
a      44      72      85
a     433     398      24
a      44     118      63
a      96     212      91
a     122     476      46
a       9      28      57
a       3       5      54
a     157      75      78
a     210     212       2
a      90       6      97
a      21      79      16
a     267      77      47
a       3      10      95
a      14     204      69
a     220     227      44
a     229     481      66
a      34     134      35
a      19     129      30
a     234      88     100
a     313     108      95
a     452     247      91
a     463     159      57
a       8     440     100
a     487     249      17
a       4      29      97
a       4     195      90
a      55     212      43
a       2      97      22
a      26     339      23
a     211     243      27
a      76      51       6
a     283     251      32
a     364     161      18
a      10      11       4
a      41     198      57
a     409     276      45
a     491     206      39
a     212     285       4
a     377       4      98
a     252     453      21
a      40      83       8
a     334      64      53
a     474     294       5
a     386     168      14
a      92     101      98
a      21      25      52
a      32      56      95
a     287     143      91
a     357      54      67
a       2       9      35
a      26      17       9
a       6      14      37
a     106     190       8
a     246     302      45
a     146     269      93
a      45     486      26
a      43      45      33
a     163      83      17
a     476     477      53
a     422     482      17
a     300     376      75
a      18     463      16
a      65     214      50
a       5       6      56
a       6      95      80
a       6     192      32
a     151     173      29
a     341     393      20
a       1       3      64
a      10      39      55
a      14     304      91
a     296      24      28
a      14      62      81
a     334     414      94
a      94     389      45
a       1       9      18
a      64      77      51
a      85     105      49
a      40      49       9
a      13      21      32
a       7      29      15
