#####################################################################
# Copyright (c) 2009, International Business Machines Corporation and
# others. All Rights Reserved.
#####################################################################

###################
# This file was generated from RFC 3454 (http://www.ietf.org/rfc/rfc3454.txt)
# Copyright (C) The Internet Society (2002).  All Rights Reserved. 
###################

###################
# WARNING: This table is generated by filterRFC3454.pl tool with
# options: --sourcedir=. --destdir=out --src-filename=rfc3454.txt --dest-filename=rfc3491.txt --A1 --B1 --B2 --C12 --C22 --C3 --C4 --C5 --C6 --C7 --C8 --C9 --normalize --check-bidi 
###################

@normalize;;
@check-bidi;;

# This table contains code points from Table A.1 from RFC 3454

0221; ; UNASSIGNED
0234..024F; ; UNASSIGNED
02AE..02AF; ; UNASSIGNED
02EF..02FF; ; UNASSIGNED
0350..035F; ; UNASSIGNED
0370..0373; ; UNASSIGNED
0376..0379; ; UNASSIGNED
037B..037D; ; UNASSIGNED
037F..0383; ; UNASSIGNED
038B; ; UNASSIGNED
038D; ; UNASSIGNED
03A2; ; UNASSIGNED
03CF; ; UNASSIGNED
03F7..03FF; ; UNASSIGNED
0487; ; UNASSIGNED
04CF; ; UNASSIGNED
04F6..04F7; ; UNASSIGNED
04FA..04FF; ; UNASSIGNED
0510..0530; ; UNASSIGNED
0557..0558; ; UNASSIGNED
0560; ; UNASSIGNED
0588; ; UNASSIGNED
058B..0590; ; UNASSIGNED
05A2; ; UNASSIGNED
05BA; ; UNASSIGNED
05C5..05CF; ; UNASSIGNED
05EB..05EF; ; UNASSIGNED
05F5..060B; ; UNASSIGNED
060D..061A; ; UNASSIGNED
061C..061E; ; UNASSIGNED
0620; ; UNASSIGNED
063B..063F; ; UNASSIGNED
0656..065F; ; UNASSIGNED
06EE..06EF; ; UNASSIGNED
06FF; ; UNASSIGNED
070E; ; UNASSIGNED
072D..072F; ; UNASSIGNED
074B..077F; ; UNASSIGNED
07B2..0900; ; UNASSIGNED
0904; ; UNASSIGNED
093A..093B; ; UNASSIGNED
094E..094F; ; UNASSIGNED
0955..0957; ; UNASSIGNED
0971..0980; ; UNASSIGNED
0984; ; UNASSIGNED
098D..098E; ; UNASSIGNED
0991..0992; ; UNASSIGNED
09A9; ; UNASSIGNED
09B1; ; UNASSIGNED
09B3..09B5; ; UNASSIGNED
09BA..09BB; ; UNASSIGNED
09BD; ; UNASSIGNED
09C5..09C6; ; UNASSIGNED
09C9..09CA; ; UNASSIGNED
09CE..09D6; ; UNASSIGNED
09D8..09DB; ; UNASSIGNED
09DE; ; UNASSIGNED
09E4..09E5; ; UNASSIGNED
09FB..0A01; ; UNASSIGNED
0A03..0A04; ; UNASSIGNED
0A0B..0A0E; ; UNASSIGNED
0A11..0A12; ; UNASSIGNED
0A29; ; UNASSIGNED
0A31; ; UNASSIGNED
0A34; ; UNASSIGNED
0A37; ; UNASSIGNED
0A3A..0A3B; ; UNASSIGNED
0A3D; ; UNASSIGNED
0A43..0A46; ; UNASSIGNED
0A49..0A4A; ; UNASSIGNED
0A4E..0A58; ; UNASSIGNED
0A5D; ; UNASSIGNED
0A5F..0A65; ; UNASSIGNED
0A75..0A80; ; UNASSIGNED
0A84; ; UNASSIGNED
0A8C; ; UNASSIGNED
0A8E; ; UNASSIGNED
0A92; ; UNASSIGNED
0AA9; ; UNASSIGNED
0AB1; ; UNASSIGNED
0AB4; ; UNASSIGNED
0ABA..0ABB; ; UNASSIGNED
0AC6; ; UNASSIGNED
0ACA; ; UNASSIGNED
0ACE..0ACF; ; UNASSIGNED
0AD1..0ADF; ; UNASSIGNED
0AE1..0AE5; ; UNASSIGNED
0AF0..0B00; ; UNASSIGNED
0B04; ; UNASSIGNED
0B0D..0B0E; ; UNASSIGNED
0B11..0B12; ; UNASSIGNED
0B29; ; UNASSIGNED
0B31; ; UNASSIGNED
0B34..0B35; ; UNASSIGNED
0B3A..0B3B; ; UNASSIGNED
0B44..0B46; ; UNASSIGNED
0B49..0B4A; ; UNASSIGNED
0B4E..0B55; ; UNASSIGNED
0B58..0B5B; ; UNASSIGNED
0B5E; ; UNASSIGNED
0B62..0B65; ; UNASSIGNED
0B71..0B81; ; UNASSIGNED
0B84; ; UNASSIGNED
0B8B..0B8D; ; UNASSIGNED
0B91; ; UNASSIGNED
0B96..0B98; ; UNASSIGNED
0B9B; ; UNASSIGNED
0B9D; ; UNASSIGNED
0BA0..0BA2; ; UNASSIGNED
0BA5..0BA7; ; UNASSIGNED
0BAB..0BAD; ; UNASSIGNED
0BB6; ; UNASSIGNED
0BBA..0BBD; ; UNASSIGNED
0BC3..0BC5; ; UNASSIGNED
0BC9; ; UNASSIGNED
0BCE..0BD6; ; UNASSIGNED
0BD8..0BE6; ; UNASSIGNED
0BF3..0C00; ; UNASSIGNED
0C04; ; UNASSIGNED
0C0D; ; UNASSIGNED
0C11; ; UNASSIGNED
0C29; ; UNASSIGNED
0C34; ; UNASSIGNED
0C3A..0C3D; ; UNASSIGNED
0C45; ; UNASSIGNED
0C49; ; UNASSIGNED
0C4E..0C54; ; UNASSIGNED
0C57..0C5F; ; UNASSIGNED
0C62..0C65; ; UNASSIGNED
0C70..0C81; ; UNASSIGNED
0C84; ; UNASSIGNED
0C8D; ; UNASSIGNED
0C91; ; UNASSIGNED
0CA9; ; UNASSIGNED
0CB4; ; UNASSIGNED
0CBA..0CBD; ; UNASSIGNED
0CC5; ; UNASSIGNED
0CC9; ; UNASSIGNED
0CCE..0CD4; ; UNASSIGNED
0CD7..0CDD; ; UNASSIGNED
0CDF; ; UNASSIGNED
0CE2..0CE5; ; UNASSIGNED
0CF0..0D01; ; UNASSIGNED
0D04; ; UNASSIGNED
0D0D; ; UNASSIGNED
0D11; ; UNASSIGNED
0D29; ; UNASSIGNED
0D3A..0D3D; ; UNASSIGNED
0D44..0D45; ; UNASSIGNED
0D49; ; UNASSIGNED
0D4E..0D56; ; UNASSIGNED
0D58..0D5F; ; UNASSIGNED
0D62..0D65; ; UNASSIGNED
0D70..0D81; ; UNASSIGNED
0D84; ; UNASSIGNED
0D97..0D99; ; UNASSIGNED
0DB2; ; UNASSIGNED
0DBC; ; UNASSIGNED
0DBE..0DBF; ; UNASSIGNED
0DC7..0DC9; ; UNASSIGNED
0DCB..0DCE; ; UNASSIGNED
0DD5; ; UNASSIGNED
0DD7; ; UNASSIGNED
0DE0..0DF1; ; UNASSIGNED
0DF5..0E00; ; UNASSIGNED
0E3B..0E3E; ; UNASSIGNED
0E5C..0E80; ; UNASSIGNED
0E83; ; UNASSIGNED
0E85..0E86; ; UNASSIGNED
0E89; ; UNASSIGNED
0E8B..0E8C; ; UNASSIGNED
0E8E..0E93; ; UNASSIGNED
0E98; ; UNASSIGNED
0EA0; ; UNASSIGNED
0EA4; ; UNASSIGNED
0EA6; ; UNASSIGNED
0EA8..0EA9; ; UNASSIGNED
0EAC; ; UNASSIGNED
