# DerivedNormalizationProps-6.0.0.txt
# Date: 2010-05-20, 15:14:12 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: FC_NFKC_Closure  (DEPRECATED as of Unicode 6.0.0)
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9
03D2  ; FC_NFKC; 03C5
03D3  ; FC_NFKC; 03CD
03D4  ; FC_NFKC; 03CB
03F2  ; FC_NFKC; 03C3
03F9  ; FC_NFKC; 03C3
1D2C  ; FC_NFKC; 0061
1D2D  ; FC_NFKC; 00E6
1D2E  ; FC_NFKC; 0062
1D30  ; FC_NFKC; 0064
1D31  ; FC_NFKC; 0065
1D32  ; FC_NFKC; 01DD
1D33  ; FC_NFKC; 0067
1D34  ; FC_NFKC; 0068
1D35  ; FC_NFKC; 0069
1D36  ; FC_NFKC; 006A
1D37  ; FC_NFKC; 006B
1D38  ; FC_NFKC; 006C
1D39  ; FC_NFKC; 006D
1D3A  ; FC_NFKC; 006E
1D3C  ; FC_NFKC; 006F
1D3D  ; FC_NFKC; 0223
1D3E  ; FC_NFKC; 0070
1D3F  ; FC_NFKC; 0072
1D40  ; FC_NFKC; 0074
1D41  ; FC_NFKC; 0075
1D42  ; FC_NFKC; 0077
20A8  ; FC_NFKC; 0072 0073
2102  ; FC_NFKC; 0063
2103  ; FC_NFKC; 00B0 0063
2107  ; FC_NFKC; 025B
2109  ; FC_NFKC; 00B0 0066
210B  ; FC_NFKC; 0068
210C  ; FC_NFKC; 0068
210D  ; FC_NFKC; 0068
2110  ; FC_NFKC; 0069
2111  ; FC_NFKC; 0069
2112  ; FC_NFKC; 006C
2115  ; FC_NFKC; 006E
2116  ; FC_NFKC; 006E 006F
2119  ; FC_NFKC; 0070
211A  ; FC_NFKC; 0071
211B  ; FC_NFKC; 0072
211C  ; FC_NFKC; 0072
211D  ; FC_NFKC; 0072
2120  ; FC_NFKC; 0073 006D
2121  ; FC_NFKC; 0074 0065 006C
2122  ; FC_NFKC; 0074 006D
2124  ; FC_NFKC; 007A
2128  ; FC_NFKC; 007A
212C  ; FC_NFKC; 0062
212D  ; FC_NFKC; 0063
2130  ; FC_NFKC; 0065
2131  ; FC_NFKC; 0066
2133  ; FC_NFKC; 006D
213B  ; FC_NFKC; 0066 0061 0078
213E  ; FC_NFKC; 03B3
213F  ; FC_NFKC; 03C0
2145  ; FC_NFKC; 0064
2C7D  ; FC_NFKC; 0076
3250  ; FC_NFKC; 0070 0074 0065
32CC  ; FC_NFKC; 0068 0067
32CE  ; FC_NFKC; 0065 0076
32CF  ; FC_NFKC; 006C 0074 0064
3371  ; FC_NFKC; 0068 0070 0061
3373  ; FC_NFKC; 0061 0075
3375  ; FC_NFKC; 006F 0076
337A  ; FC_NFKC; 0069 0075
3380  ; FC_NFKC; 0070 0061
3381  ; FC_NFKC; 006E 0061
3382  ; FC_NFKC; 03BC 0061
3383  ; FC_NFKC; 006D 0061
3384  ; FC_NFKC; 006B 0061
3385  ; FC_NFKC; 006B 0062
3386  ; FC_NFKC; 006D 0062
3387  ; FC_NFKC; 0067 0062
338A  ; FC_NFKC; 0070 0066
338B  ; FC_NFKC; 006E 0066
338C  ; FC_NFKC; 03BC 0066
3390  ; FC_NFKC; 0068 007A
3391  ; FC_NFKC; 006B 0068 007A
3392  ; FC_NFKC; 006D 0068 007A
3393  ; FC_NFKC; 0067 0068 007A
3394  ; FC_NFKC; 0074 0068 007A
33A9  ; FC_NFKC; 0070 0061
33AA  ; FC_NFKC; 006B 0070 0061
33AB  ; FC_NFKC; 006D 0070 0061
33AC  ; FC_NFKC; 0067 0070 0061
33B4  ; FC_NFKC; 0070 0076
33B5  ; FC_NFKC; 006E 0076
33B6  ; FC_NFKC; 03BC 0076
33B7  ; FC_NFKC; 006D 0076
33B8  ; FC_NFKC; 006B 0076
33B9  ; FC_NFKC; 006D 0076
33BA  ; FC_NFKC; 0070 0077
33BB  ; FC_NFKC; 006E 0077
33BC  ; FC_NFKC; 03BC 0077
33BD  ; FC_NFKC; 006D 0077
33BE  ; FC_NFKC; 006B 0077
33BF  ; FC_NFKC; 006D 0077
33C0  ; FC_NFKC; 006B 03C9
33C1  ; FC_NFKC; 006D 03C9
33C3  ; FC_NFKC; 0062 0071
33C6  ; FC_NFKC; 0063 2215 006B 0067
33C7  ; FC_NFKC; 0063 006F 002E
33C8  ; FC_NFKC; 0064 0062
33C9  ; FC_NFKC; 0067 0079
33CB  ; FC_NFKC; 0068 0070
33CD  ; FC_NFKC; 006B 006B
33CE  ; FC_NFKC; 006B 006D
33D7  ; FC_NFKC; 0070 0068
33D9  ; FC_NFKC; 0070 0070 006D
33DA  ; FC_NFKC; 0070 0072
33DC  ; FC_NFKC; 0073 0076
33DD  ; FC_NFKC; 0077 0062
33DE  ; FC_NFKC; 0076 2215 006D
33DF  ; FC_NFKC; 0061 2215 006D
1D400 ; FC_NFKC; 0061
1D401 ; FC_NFKC; 0062
1D402 ; FC_NFKC; 0063
1D403 ; FC_NFKC; 0064
1D404 ; FC_NFKC; 0065
1D405 ; FC_NFKC; 0066
1D406 ; FC_NFKC; 0067
1D407 ; FC_NFKC; 0068
1D408 ; FC_NFKC; 0069
1D409 ; FC_NFKC; 006A
1D40A ; FC_NFKC; 006B
1D40B ; FC_NFKC; 006C
1D40C ; FC_NFKC; 006D
1D40D ; FC_NFKC; 006E
1D40E ; FC_NFKC; 006F
1D40F ; FC_NFKC; 0070
1D410 ; FC_NFKC; 0071
1D411 ; FC_NFKC; 0072
1D412 ; FC_NFKC; 0073
1D413 ; FC_NFKC; 0074
1D414 ; FC_NFKC; 0075
1D415 ; FC_NFKC; 0076
1D416 ; FC_NFKC; 0077
1D417 ; FC_NFKC; 0078
1D418 ; FC_NFKC; 0079
1D419 ; FC_NFKC; 007A
1D434 ; FC_NFKC; 0061
1D435 ; FC_NFKC; 0062
1D436 ; FC_NFKC; 0063
1D437 ; FC_NFKC; 0064
1D438 ; FC_NFKC; 0065
1D439 ; FC_NFKC; 0066
1D43A ; FC_NFKC; 0067
1D43B ; FC_NFKC; 0068
1D43C ; FC_NFKC; 0069
1D43D ; FC_NFKC; 006A
1D43E ; FC_NFKC; 006B
1D43F ; FC_NFKC; 006C
1D440 ; FC_NFKC; 006D
1D441 ; FC_NFKC; 006E
1D442 ; FC_NFKC; 006F
1D443 ; FC_NFKC; 0070
1D444 ; FC_NFKC; 0071
1D445 ; FC_NFKC; 0072
1D446 ; FC_NFKC; 0073
1D447 ; FC_NFKC; 0074
1D448 ; FC_NFKC; 0075
1D449 ; FC_NFKC; 0076
1D44A ; FC_NFKC; 0077
1D44B ; FC_NFKC; 0078
1D44C ; FC_NFKC; 0079
1D44D ; FC_NFKC; 007A
1D468 ; FC_NFKC; 0061
1D469 ; FC_NFKC; 0062
1D46A ; FC_NFKC; 0063
1D46B ; FC_NFKC; 0064
1D46C ; FC_NFKC; 0065
1D46D ; FC_NFKC; 0066
1D46E ; FC_NFKC; 0067
1D46F ; FC_NFKC; 0068
1D470 ; FC_NFKC; 0069
1D471 ; FC_NFKC; 006A
1D472 ; FC_NFKC; 006B
1D473 ; FC_NFKC; 006C
1D474 ; FC_NFKC; 006D
1D475 ; FC_NFKC; 006E
1D476 ; FC_NFKC; 006F
1D477 ; FC_NFKC; 0070
1D478 ; FC_NFKC; 0071
1D479 ; FC_NFKC; 0072
1D47A ; FC_NFKC; 0073
1D47B ; FC_NFKC; 0074
1D47C ; FC_NFKC; 0075
1D47D ; FC_NFKC; 0076
1D47E ; FC_NFKC; 0077
1D47F ; FC_NFKC; 0078
1D480 ; FC_NFKC; 0079
1D481 ; FC_NFKC; 007A
1D49C ; FC_NFKC; 0061
1D49E ; FC_NFKC; 0063
1D49F ; FC_NFKC; 0064
1D4A2 ; FC_NFKC; 0067
1D4A5 ; FC_NFKC; 006A
1D4A6 ; FC_NFKC; 006B
1D4A9 ; FC_NFKC; 006E
1D4AA ; FC_NFKC; 006F
1D4AB ; FC_NFKC; 0070
1D4AC ; FC_NFKC; 0071
1D4AE ; FC_NFKC; 0073
1D4AF ; FC_NFKC; 0074
1D4B0 ; FC_NFKC; 0075
1D4B1 ; FC_NFKC; 0076
1D4B2 ; FC_NFKC; 0077
1D4B3 ; FC_NFKC; 0078
1D4B4 ; FC_NFKC; 0079
1D4B5 ; FC_NFKC; 007A
1D4D0 ; FC_NFKC; 0061
1D4D1 ; FC_NFKC; 0062
1D4D2 ; FC_NFKC; 0063
1D4D3 ; FC_NFKC; 0064
1D4D4 ; FC_NFKC; 0065
1D4D5 ; FC_NFKC; 0066
1D4D6 ; FC_NFKC; 0067
1D4D7 ; FC_NFKC; 0068
1D4D8 ; FC_NFKC; 0069
1D4D9 ; FC_NFKC; 006A
1D4DA ; FC_NFKC; 006B
1D4DB ; FC_NFKC; 006C
1D4DC ; FC_NFKC; 006D
1D4DD ; FC_NFKC; 006E
1D4DE ; FC_NFKC; 006F
1D4DF ; FC_NFKC; 0070
1D4E0 ; FC_NFKC; 0071
1D4E1 ; FC_NFKC; 0072
1D4E2 ; FC_NFKC; 0073
1D4E3 ; FC_NFKC; 0074
1D4E4 ; FC_NFKC; 0075
1D4E5 ; FC_NFKC; 0076
1D4E6 ; FC_NFKC; 0077
1D4E7 ; FC_NFKC; 0078
1D4E8 ; FC_NFKC; 0079
1D4E9 ; FC_NFKC; 007A
1D504 ; FC_NFKC; 0061
1D505 ; FC_NFKC; 0062
1D507 ; FC_NFKC; 0064
1D508 ; FC_NFKC; 0065
1D509 ; FC_NFKC; 0066
1D50A ; FC_NFKC; 0067
1D50D ; FC_NFKC; 006A
1D50E ; FC_NFKC; 006B
1D50F ; FC_NFKC; 006C
1D510 ; FC_NFKC; 006D
1D511 ; FC_NFKC; 006E
1D512 ; FC_NFKC; 006F
1D513 ; FC_NFKC; 0070
1D514 ; FC_NFKC; 0071
1D516 ; FC_NFKC; 0073
1D517 ; FC_NFKC; 0074
1D518 ; FC_NFKC; 0075
1D519 ; FC_NFKC; 0076
1D51A ; FC_NFKC; 0077
1D51B ; FC_NFKC; 0078
1D51C ; FC_NFKC; 0079
1D538 ; FC_NFKC; 0061
1D539 ; FC_NFKC; 0062
1D53B ; FC_NFKC; 0064
1D53C ; FC_NFKC; 0065
1D53D ; FC_NFKC; 0066
1D53E ; FC_NFKC; 0067
1D540 ; FC_NFKC; 0069
1D541 ; FC_NFKC; 006A
1D542 ; FC_NFKC; 006B
1D543 ; FC_NFKC; 006C
1D544 ; FC_NFKC; 006D
1D546 ; FC_NFKC; 006F
1D54A ; FC_NFKC; 0073
1D54B ; FC_NFKC; 0074
1D54C ; FC_NFKC; 0075
1D54D ; FC_NFKC; 0076
1D54E ; FC_NFKC; 0077
1D54F ; FC_NFKC; 0078
1D550 ; FC_NFKC; 0079
1D56C ; FC_NFKC; 0061
1D56D ; FC_NFKC; 0062
1D56E ; FC_NFKC; 0063
1D56F ; FC_NFKC; 0064
1D570 ; FC_NFKC; 0065
1D571 ; FC_NFKC; 0066
1D572 ; FC_NFKC; 0067
1D573 ; FC_NFKC; 0068
1D574 ; FC_NFKC; 0069
1D575 ; FC_NFKC; 006A
1D576 ; FC_NFKC; 006B
1D577 ; FC_NFKC; 006C
1D578 ; FC_NFKC; 006D
1D579 ; FC_NFKC; 006E
1D57A ; FC_NFKC; 006F
1D57B ; FC_NFKC; 0070
1D57C ; FC_NFKC; 0071
1D57D ; FC_NFKC; 0072
1D57E ; FC_NFKC; 0073
1D57F ; FC_NFKC; 0074
1D580 ; FC_NFKC; 0075
1D581 ; FC_NFKC; 0076
1D582 ; FC_NFKC; 0077
1D583 ; FC_NFKC; 0078
1D584 ; FC_NFKC; 0079
1D585 ; FC_NFKC; 007A
1D5A0 ; FC_NFKC; 0061
1D5A1 ; FC_NFKC; 0062
1D5A2 ; FC_NFKC; 0063
1D5A3 ; FC_NFKC; 0064
1D5A4 ; FC_NFKC; 0065
1D5A5 ; FC_NFKC; 0066
1D5A6 ; FC_NFKC; 0067
1D5A7 ; FC_NFKC; 0068
1D5A8 ; FC_NFKC; 0069
1D5A9 ; FC_NFKC; 006A
1D5AA ; FC_NFKC; 006B
1D5AB ; FC_NFKC; 006C
1D5AC ; FC_NFKC; 006D
1D5AD ; FC_NFKC; 006E
1D5AE ; FC_NFKC; 006F
1D5AF ; FC_NFKC; 0070
1D5B0 ; FC_NFKC; 0071
1D5B1 ; FC_NFKC; 0072
1D5B2 ; FC_NFKC; 0073
1D5B3 ; FC_NFKC; 0074
1D5B4 ; FC_NFKC; 0075
1D5B5 ; FC_NFKC; 0076
1D5B6 ; FC_NFKC; 0077
1D5B7 ; FC_NFKC; 0078
1D5B8 ; FC_NFKC; 0079
1D5B9 ; FC_NFKC; 007A
1D5D4 ; FC_NFKC; 0061
1D5D5 ; FC_NFKC; 0062
1D5D6 ; FC_NFKC; 0063
1D5D7 ; FC_NFKC; 0064
1D5D8 ; FC_NFKC; 0065
1D5D9 ; FC_NFKC; 0066
1D5DA ; FC_NFKC; 0067
1D5DB ; FC_NFKC; 0068
1D5DC ; FC_NFKC; 0069
1D5DD ; FC_NFKC; 006A
1D5DE ; FC_NFKC; 006B
1D5DF ; FC_NFKC; 006C
1D5E0 ; FC_NFKC; 006D
1D5E1 ; FC_NFKC; 006E
1D5E2 ; FC_NFKC; 006F
1D5E3 ; FC_NFKC; 0070
1D5E4 ; FC_NFKC; 0071
1D5E5 ; FC_NFKC; 0072
1D5E6 ; FC_NFKC; 0073
1D5E7 ; FC_NFKC; 0074
1D5E8 ; FC_NFKC; 0075
1D5E9 ; FC_NFKC; 0076
1D5EA ; FC_NFKC; 0077
1D5EB ; FC_NFKC; 0078
1D5EC ; FC_NFKC; 0079
1D5ED ; FC_NFKC; 007A
1D608 ; FC_NFKC; 0061
1D609 ; FC_NFKC; 0062
1D60A ; FC_NFKC; 0063
1D60B ; FC_NFKC; 0064
1D60C ; FC_NFKC; 0065
1D60D ; FC_NFKC; 0066
1D60E ; FC_NFKC; 0067
1D60F ; FC_NFKC; 0068
1D610 ; FC_NFKC; 0069
1D611 ; FC_NFKC; 006A
1D612 ; FC_NFKC; 006B
1D613 ; FC_NFKC; 006C
1D614 ; FC_NFKC; 006D
1D615 ; FC_NFKC; 006E
1D616 ; FC_NFKC; 006F
1D617 ; FC_NFKC; 0070
1D618 ; FC_NFKC; 0071
1D619 ; FC_NFKC; 0072
1D61A ; FC_NFKC; 0073
1D61B ; FC_NFKC; 0074
1D61C ; FC_NFKC; 0075
1D61D ; FC_NFKC; 0076
1D61E ; FC_NFKC; 0077
1D61F ; FC_NFKC; 0078
1D620 ; FC_NFKC; 0079
1D621 ; FC_NFKC; 007A
1D63C ; FC_NFKC; 0061
1D63D ; FC_NFKC; 0062
1D63E ; FC_NFKC; 0063
1D63F ; FC_NFKC; 0064
1D640 ; FC_NFKC; 0065
1D641 ; FC_NFKC; 0066
1D642 ; FC_NFKC; 0067
1D643 ; FC_NFKC; 0068
1D644 ; FC_NFKC; 0069
1D645 ; FC_NFKC; 006A
1D646 ; FC_NFKC; 006B
1D647 ; FC_NFKC; 006C
1D648 ; FC_NFKC; 006D
1D649 ; FC_NFKC; 006E
1D64A ; FC_NFKC; 006F
1D64B ; FC_NFKC; 0070
1D64C ; FC_NFKC; 0071
1D64D ; FC_NFKC; 0072
1D64E ; FC_NFKC; 0073
1D64F ; FC_NFKC; 0074
1D650 ; FC_NFKC; 0075
1D651 ; FC_NFKC; 0076
1D652 ; FC_NFKC; 0077
1D653 ; FC_NFKC; 0078
1D654 ; FC_NFKC; 0079
1D655 ; FC_NFKC; 007A
1D670 ; FC_NFKC; 0061
1D671 ; FC_NFKC; 0062
1D672 ; FC_NFKC; 0063
1D673 ; FC_NFKC; 0064
1D674 ; FC_NFKC; 0065
1D675 ; FC_NFKC; 0066
1D676 ; FC_NFKC; 0067
1D677 ; FC_NFKC; 0068
1D678 ; FC_NFKC; 0069
1D679 ; FC_NFKC; 006A
1D67A ; FC_NFKC; 006B
1D67B ; FC_NFKC; 006C
1D67C ; FC_NFKC; 006D
1D67D ; FC_NFKC; 006E
1D67E ; FC_NFKC; 006F
1D67F ; FC_NFKC; 0070
1D680 ; FC_NFKC; 0071
1D681 ; FC_NFKC; 0072
1D682 ; FC_NFKC; 0073
1D683 ; FC_NFKC; 0074
1D684 ; FC_NFKC; 0075
1D685 ; FC_NFKC; 0076
1D686 ; FC_NFKC; 0077
1D687 ; FC_NFKC; 0078
1D688 ; FC_NFKC; 0079
1D689 ; FC_NFKC; 007A
1D6A8 ; FC_NFKC; 03B1
1D6A9 ; FC_NFKC; 03B2
1D6AA ; FC_NFKC; 03B3
1D6AB ; FC_NFKC; 03B4
1D6AC ; FC_NFKC; 03B5
1D6AD ; FC_NFKC; 03B6
1D6AE ; FC_NFKC; 03B7
1D6AF ; FC_NFKC; 03B8
1D6B0 ; FC_NFKC; 03B9
1D6B1 ; FC_NFKC; 03BA
1D6B2 ; FC_NFKC; 03BB
1D6B3 ; FC_NFKC; 03BC
1D6B4 ; FC_NFKC; 03BD
1D6B5 ; FC_NFKC; 03BE
