# GraphemeBreakProperty-6.0.0.txt
# Date: 2010-09-01, 18:48:17 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Grapheme_Cluster_Break

#  All code points not explicitly listed for Grapheme_Cluster_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

# ================================================

000A          ; LF

# Total code points: 1

# ================================================

0000..0009    ; Control
000B..000C    ; Control
000E..001F    ; Control
007F..009F    ; Control
00AD          ; Control
0600..0603    ; Control
06DD          ; Control
070F          ; Control
17B4..17B5    ; Control
200B          ; Control
200E..200F    ; Control
2028          ; Control
2029          ; Control
202A..202E    ; Control
2060..2064    ; Control
206A..206F    ; Control
FEFF          ; Control
FFF9..FFFB    ; Control
110BD         ; Control
1D173..1D17A  ; Control
E0001         ; Control
E0020..E007F  ; Control

# Total code points: 203

# ================================================

0300..036F    ; Extend
0483..0487    ; Extend
0488..0489    ; Extend
0591..05BD    ; Extend
05BF          ; Extend
05C1..05C2    ; Extend
05C4..05C5    ; Extend
05C7          ; Extend
0610..061A    ; Extend
064B..065F    ; Extend
0670          ; Extend
06D6..06DC    ; Extend
06DF..06E4    ; Extend
06E7..06E8    ; Extend
06EA..06ED    ; Extend
0711          ; Extend
0730..074A    ; Extend
07A6..07B0    ; Extend
07EB..07F3    ; Extend
0816..0819    ; Extend
081B..0823    ; Extend
0825..0827    ; Extend
0829..082D    ; Extend
0859..085B    ; Extend
0900..0902    ; Extend
093A          ; Extend
093C          ; Extend
0941..0948    ; Extend
094D          ; Extend
0951..0957    ; Extend
0962..0963    ; Extend
0981          ; Extend
09BC          ; Extend
09BE          ; Extend
09C1..09C4    ; Extend
09CD          ; Extend
09D7          ; Extend
09E2..09E3    ; Extend
0A01..0A02    ; Extend
0A3C          ; Extend
0A41..0A42    ; Extend
0A47..0A48    ; Extend
0A4B..0A4D    ; Extend
0A51          ; Extend
0A70..0A71    ; Extend
0A75          ; Extend
0A81..0A82    ; Extend
0ABC          ; Extend
0AC1..0AC5    ; Extend
0AC7..0AC8    ; Extend
0ACD          ; Extend
0AE2..0AE3    ; Extend
0B01          ; Extend
0B3C          ; Extend
0B3E          ; Extend
0B3F          ; Extend
0B41..0B44    ; Extend
0B4D          ; Extend
0B56          ; Extend
0B57          ; Extend
0B62..0B63    ; Extend
0B82          ; Extend
0BBE          ; Extend
0BC0          ; Extend
0BCD          ; Extend
0BD7          ; Extend
0C3E..0C40    ; Extend
0C46..0C48    ; Extend
0C4A..0C4D    ; Extend
