# LineBreak-6.0.0.txt
# Date: 2010-08-18, 17:25:00 PDT [KW]
#
# Line Break Properties
#
# This file is a normative contributory data file in the
# Unicode Character Database.
# It contains both normative and informative data.
#
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# The format is two fields separated by a semicolon.
# Field 0: Unicode value
# Field 1: LineBreak property, consisting of one of the following values:
#   Normative:
#         "BK", "CR", "LF", "CM", "SG", "GL", "CB", "SP", "ZW",
#         "NL", "WJ", "JL", "JV", "JT", "H2", "H3"
#   Informative:
#         "XX", "OP", "CL", "CP", "QU", "NS", "EX", "SY",
#         "IS", "PR", "PO", "NU", "AL", "ID", "IN", "HY",
#         "BB", "BA", "SA", "AI", "B2"
#  - All code points, assigned and unassigned, that are not listed
#         explicitly are given the value "XX".
# The unassigned code points that default to "ID" include ranges in the
# following blocks:
#     CJK Unified Ideographs Extension A:       U+3400..U+4DBF
#     CJK Unified Ideographs:                   U+4E00..U+9FFF
#     CJK Compatibility Ideographs:             U+F900..U+FAFF
#     CJK Unified Ideographs Extension B:      U+20000..U+2A6DF
#     CJK Unified Ideographs Extension C:      U+2A700..U+2B73F
#     CJK Unified Ideographs Extension D:      U+2B740..U+2B81F
#     CJK Compatibility Ideographs Supplement: U+2F800..U+2FA1F
#     and any other reserved code points on
#         Planes 2 and 3:                      U+20000..U+2FFFD
#                                              U+30000..U+3FFFD
#  - Characters ranges are specified as for other property files in
#         the Unicode Character Database.
#
# The Unicode name of each character is provided in a comment for help
# in identifying the characters.
#
# See UAX #14: Unicode Line Breaking Algorithm, for more information
#
# @missing: 0000..10FFFF; XX
0000..0008;CM
0009;BA
000A;LF
000B..000C;BK
000D;CR
000E..001F;CM
0020;SP
0021;EX
0022;QU
0023;AL
0024;PR
0025;PO
0026;AL
0027;QU
0028;OP
0029;CP
002A;AL
002B;PR
002C;IS
002D;HY
002E;IS
002F;SY
0030..0039;NU
003A..003B;IS
003C..003E;AL
003F;EX
0040..005A;AL
005B;OP
005C;PR
005D;CP
005E..007A;AL
007B;OP
007C;BA
007D;CL
007E;AL
007F..0084;CM
0085;NL
0086..009F;CM
00A0;GL
00A1;OP
00A2;PO
00A3..00A5;PR
00A6;AL
00A7..00A8;AI
00A9;AL
00AA;AI
00AB;QU
00AC;AL
00AD;BA
00AE..00AF;AL
00B0;PO
00B1;PR
00B2..00B3;AI
00B4;BB
00B5;AL
00B6..00BA;AI
00BB;QU
00BC..00BE;AI
00BF;OP
00C0..00D6;AL
00D7;AI
00D8..00F6;AL
00F7;AI
00F8..02C6;AL
02C7;AI
02C8;BB
02C9..02CB;AI
02CC;BB
02CD;AI
02CE..02CF;AL
02D0;AI
02D1..02D7;AL
02D8..02DB;AI
02DC;AL
02DD;AI
02DE;AL
02DF;BB
02E0..02FF;AL
0300..034E;CM
034F;GL
0350..035B;CM
035C..0362;GL
0363..036F;CM
0370..0377;AL
037A..037D;AL
037E;IS
0384..038A;AL
038C;AL
038E..03A1;AL
03A3..0482;AL
0483..0489;CM
048A..0527;AL
0531..0556;AL
0559..055F;AL
0561..0587;AL
0589;IS
058A;BA
0591..05BD;CM
05BE;BA
05BF;CM
05C0;AL
05C1..05C2;CM
05C3;AL
05C4..05C5;CM
05C6;EX
05C7;CM
05D0..05EA;AL
05F0..05F4;AL
0600..0603;AL
0606..0608;AL
0609..060B;PO
060C..060D;IS
060E..060F;AL
0610..061A;CM
061B;EX
061E..061F;EX
0620..064A;AL
064B..065F;CM
0660..0669;NU
066A;PO
066B..066C;NU
066D..066F;AL
0670;CM
0671..06D3;AL
06D4;EX
06D5;AL
06D6..06DC;CM
06DD..06DE;AL
06DF..06E4;CM
06E5..06E6;AL
06E7..06E8;CM
06E9;AL
06EA..06ED;CM
06EE..06EF;AL
06F0..06F9;NU
06FA..070D;AL
070F..0710;AL
0711;CM
0712..072F;AL
0730..074A;CM
074D..07A5;AL
07A6..07B0;CM
07B1;AL
07C0..07C9;NU
07CA..07EA;AL
07EB..07F3;CM
07F4..07F7;AL
07F8;IS
07F9;EX
07FA;AL
0800..0815;AL
0816..0819;CM
081A;AL
081B..0823;CM
0824;AL
0825..0827;CM
0828;AL
0829..082D;CM
0830..083E;AL
0840..0858;AL
0859..085B;CM
085E;AL
0900..0903;CM
0904..0939;AL
093A..093C;CM
093D;AL
093E..094F;CM
0950;AL
0951..0957;CM
0958..0961;AL
0962..0963;CM
0964..0965;BA
0966..096F;NU
0970..0977;AL
0979..097F;AL
0981..0983;CM
0985..098C;AL
098F..0990;AL
0993..09A8;AL
09AA..09B0;AL
09B2;AL
09B6..09B9;AL
09BC;CM
09BD;AL
09BE..09C4;CM
09C7..09C8;CM
09CB..09CD;CM
09CE;AL
09D7;CM
09DC..09DD;AL
09DF..09E1;AL
09E2..09E3;CM
09E6..09EF;NU
09F0..09F1;AL
09F2..09F3;PO
09F4..09F8;AL
09F9;PO
09FA;AL
09FB;PR
0A01..0A03;CM
0A05..0A0A;AL
0A0F..0A10;AL
0A13..0A28;AL
0A2A..0A30;AL
0A32..0A33;AL
0A35..0A36;AL
0A38..0A39;AL
0A3C;CM
0A3E..0A42;CM
0A47..0A48;CM
0A4B..0A4D;CM
0A51;CM
0A59..0A5C;AL
0A5E;AL
0A66..0A6F;NU
0A70..0A71;CM
0A72..0A74;AL
0A75;CM
0A81..0A83;CM
0A85..0A8D;AL
0A8F..0A91;AL
0A93..0AA8;AL
