# PropList-6.0.0.txt
# Date: 2010-08-19, 00:48:28 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

0009..000D    ; White_Space
0020          ; White_Space
0085          ; White_Space
00A0          ; White_Space
1680          ; White_Space
180E          ; White_Space
2000..200A    ; White_Space
2028          ; White_Space
2029          ; White_Space
202F          ; White_Space
205F          ; White_Space
3000          ; White_Space

# Total code points: 26

# ================================================

200E..200F    ; Bidi_Control
202A..202E    ; Bidi_Control

# Total code points: 7

# ================================================

200C..200D    ; Join_Control

# Total code points: 2

# ================================================

002D          ; Dash
058A          ; Dash
05BE          ; Dash
1400          ; Dash
1806          ; Dash
2010..2015    ; Dash
2053          ; Dash
207B          ; Dash
208B          ; Dash
2212          ; Dash
2E17          ; Dash
2E1A          ; Dash
301C          ; Dash
3030          ; Dash
30A0          ; Dash
FE31..FE32    ; Dash
FE58          ; Dash
FE63          ; Dash
FF0D          ; Dash

# Total code points: 25

# ================================================

002D          ; Hyphen
00AD          ; Hyphen
058A          ; Hyphen
1806          ; Hyphen
2010..2011    ; Hyphen
2E17          ; Hyphen
30FB          ; Hyphen
FE63          ; Hyphen
FF0D          ; Hyphen
FF65          ; Hyphen

# Total code points: 11

# ================================================

0022          ; Quotation_Mark
0027          ; Quotation_Mark
00AB          ; Quotation_Mark
00BB          ; Quotation_Mark
2018          ; Quotation_Mark
2019          ; Quotation_Mark
201A          ; Quotation_Mark
201B..201C    ; Quotation_Mark
201D          ; Quotation_Mark
201E          ; Quotation_Mark
201F          ; Quotation_Mark
2039          ; Quotation_Mark
203A          ; Quotation_Mark
300C          ; Quotation_Mark
300D          ; Quotation_Mark
300E          ; Quotation_Mark
300F          ; Quotation_Mark
301D          ; Quotation_Mark
301E..301F    ; Quotation_Mark
FE41          ; Quotation_Mark
FE42          ; Quotation_Mark
FE43          ; Quotation_Mark
FE44          ; Quotation_Mark
FF02          ; Quotation_Mark
FF07          ; Quotation_Mark
FF62          ; Quotation_Mark
FF63          ; Quotation_Mark

# Total code points: 29

# ================================================

0021          ; Terminal_Punctuation
002C          ; Terminal_Punctuation
002E          ; Terminal_Punctuation
003A..003B    ; Terminal_Punctuation
003F          ; Terminal_Punctuation
037E          ; Terminal_Punctuation
0387          ; Terminal_Punctuation
0589          ; Terminal_Punctuation
05C3          ; Terminal_Punctuation
060C          ; Terminal_Punctuation
061B          ; Terminal_Punctuation
061F          ; Terminal_Punctuation
06D4          ; Terminal_Punctuation
0700..070A    ; Terminal_Punctuation
070C          ; Terminal_Punctuation
07F8..07F9    ; Terminal_Punctuation
0830..083E    ; Terminal_Punctuation
085E          ; Terminal_Punctuation
0964..0965    ; Terminal_Punctuation
0E5A..0E5B    ; Terminal_Punctuation
0F08          ; Terminal_Punctuation
0F0D..0F12    ; Terminal_Punctuation
104A..104B    ; Terminal_Punctuation
1361..1368    ; Terminal_Punctuation
166D..166E    ; Terminal_Punctuation
16EB..16ED    ; Terminal_Punctuation
17D4..17D6    ; Terminal_Punctuation
17DA          ; Terminal_Punctuation
1802..1805    ; Terminal_Punctuation
1808..1809    ; Terminal_Punctuation
1944..1945    ; Terminal_Punctuation
1AA8..1AAB    ; Terminal_Punctuation
1B5A..1B5B    ; Terminal_Punctuation
1B5D..1B5F    ; Terminal_Punctuation
1C3B..1C3F    ; Terminal_Punctuation
1C7E..1C7F    ; Terminal_Punctuation
203C..203D    ; Terminal_Punctuation
2047..2049    ; Terminal_Punctuation
2E2E          ; Terminal_Punctuation
3001..3002    ; Terminal_Punctuation
A4FE..A4FF    ; Terminal_Punctuation
A60D..A60F    ; Terminal_Punctuation
A6F3..A6F7    ; Terminal_Punctuation
A876..A877    ; Terminal_Punctuation
A8CE..A8CF    ; Terminal_Punctuation
A92F          ; Terminal_Punctuation
A9C7..A9C9    ; Terminal_Punctuation
AA5D..AA5F    ; Terminal_Punctuation
AADF          ; Terminal_Punctuation
ABEB          ; Terminal_Punctuation
FE50..FE52    ; Terminal_Punctuation
FE54..FE57    ; Terminal_Punctuation
FF01          ; Terminal_Punctuation
FF0C          ; Terminal_Punctuation
FF0E          ; Terminal_Punctuation
FF1A..FF1B    ; Terminal_Punctuation
FF1F          ; Terminal_Punctuation
FF61          ; Terminal_Punctuation
FF64          ; Terminal_Punctuation
1039F         ; Terminal_Punctuation
103D0         ; Terminal_Punctuation
10857         ; Terminal_Punctuation
1091F         ; Terminal_Punctuation
10B3A..10B3F  ; Terminal_Punctuation
11047..1104D  ; Terminal_Punctuation
110BE..110C1  ; Terminal_Punctuation
12470..12473  ; Terminal_Punctuation

# Total code points: 169

# ================================================

005E          ; Other_Math
03D0..03D2    ; Other_Math
03D5          ; Other_Math
03F0..03F1    ; Other_Math
03F4..03F5    ; Other_Math
2016          ; Other_Math
2032..2034    ; Other_Math
2040          ; Other_Math
2061..2064    ; Other_Math
207D          ; Other_Math
207E          ; Other_Math
208D          ; Other_Math
208E          ; Other_Math
20D0..20DC    ; Other_Math
20E1          ; Other_Math
20E5..20E6    ; Other_Math
20EB..20EF    ; Other_Math
2102          ; Other_Math
2107          ; Other_Math
210A..2113    ; Other_Math
2115          ; Other_Math
2119..211D    ; Other_Math
2124          ; Other_Math
2128          ; Other_Math
2129          ; Other_Math
212C..212D    ; Other_Math
212F..2131    ; Other_Math
2133..2134    ; Other_Math
2135..2138    ; Other_Math
213C..213F    ; Other_Math
2145..2149    ; Other_Math
2195..2199    ; Other_Math
219C..219F    ; Other_Math
21A1..21A2    ; Other_Math
21A4..21A5    ; Other_Math
21A7          ; Other_Math
21A9..21AD    ; Other_Math
21B0..21B1    ; Other_Math
21B6..21B7    ; Other_Math
21BC..21CD    ; Other_Math
21D0..21D1    ; Other_Math
21D3          ; Other_Math
21D5..21DB    ; Other_Math
21DD          ; Other_Math
21E4..21E5    ; Other_Math
23B4..23B5    ; Other_Math
23B7          ; Other_Math
23D0          ; Other_Math
23E2          ; Other_Math
25A0..25A1    ; Other_Math
25AE..25B6    ; Other_Math
25BC..25C0    ; Other_Math
25C6..25C7    ; Other_Math
25CA..25CB    ; Other_Math
25CF..25D3    ; Other_Math
25E2          ; Other_Math
25E4          ; Other_Math
25E7..25EC    ; Other_Math
2605..2606    ; Other_Math
2640          ; Other_Math
2642          ; Other_Math
2660..2663    ; Other_Math
266D..266E    ; Other_Math
27C5          ; Other_Math
27C6          ; Other_Math
27E6          ; Other_Math
27E7          ; Other_Math
27E8          ; Other_Math
27E9          ; Other_Math
27EA          ; Other_Math
27EB          ; Other_Math
27EC          ; Other_Math
27ED          ; Other_Math
27EE          ; Other_Math
27EF          ; Other_Math
2983          ; Other_Math
2984          ; Other_Math
2985          ; Other_Math
2986          ; Other_Math
2987          ; Other_Math
2988          ; Other_Math
2989          ; Other_Math
298A          ; Other_Math
298B          ; Other_Math
298C          ; Other_Math
298D          ; Other_Math
298E          ; Other_Math
298F          ; Other_Math
2990          ; Other_Math
2991          ; Other_Math
2992          ; Other_Math
2993          ; Other_Math
2994          ; Other_Math
2995          ; Other_Math
2996          ; Other_Math
2997          ; Other_Math
2998          ; Other_Math
29D8          ; Other_Math
29D9          ; Other_Math
29DA          ; Other_Math
29DB          ; Other_Math
29FC          ; Other_Math
29FD          ; Other_Math
FE61          ; Other_Math
FE63          ; Other_Math
FE68          ; Other_Math
FF3C          ; Other_Math
FF3E          ; Other_Math
1D400..1D454  ; Other_Math
1D456..1D49C  ; Other_Math
1D49E..1D49F  ; Other_Math
1D4A2         ; Other_Math
1D4A5..1D4A6  ; Other_Math
1D4A9..1D4AC  ; Other_Math
1D4AE..1D4B9  ; Other_Math
1D4BB         ; Other_Math
1D4BD..1D4C3  ; Other_Math
1D4C5..1D505  ; Other_Math
1D507..1D50A  ; Other_Math
1D50D..1D514  ; Other_Math
1D516..1D51C  ; Other_Math
1D51E..1D539  ; Other_Math
1D53B..1D53E  ; Other_Math
1D540..1D544  ; Other_Math
1D546         ; Other_Math
1D54A..1D550  ; Other_Math
1D552..1D6A5  ; Other_Math
1D6A8..1D6C0  ; Other_Math
1D6C2..1D6DA  ; Other_Math
1D6DC..1D6FA  ; Other_Math
1D6FC..1D714  ; Other_Math
1D716..1D734  ; Other_Math
1D736..1D74E  ; Other_Math
1D750..1D76E  ; Other_Math
1D770..1D788  ; Other_Math
1D78A..1D7A8  ; Other_Math
1D7AA..1D7C2  ; Other_Math
1D7C4..1D7CB  ; Other_Math
1D7CE..1D7FF  ; Other_Math

# Total code points: 1217

# ================================================

0030..0039    ; Hex_Digit
0041..0046    ; Hex_Digit
0061..0066    ; Hex_Digit
FF10..FF19    ; Hex_Digit
FF21..FF26    ; Hex_Digit
FF41..FF46    ; Hex_Digit

# Total code points: 44

# ================================================

0030..0039    ; ASCII_Hex_Digit
0041..0046    ; ASCII_Hex_Digit
0061..0066    ; ASCII_Hex_Digit

# Total code points: 22

# ================================================

0345          ; Other_Alphabetic
05B0..05BD    ; Other_Alphabetic
05BF          ; Other_Alphabetic
05C1..05C2    ; Other_Alphabetic
05C4..05C5    ; Other_Alphabetic
05C7          ; Other_Alphabetic
0610..061A    ; Other_Alphabetic
064B..0657    ; Other_Alphabetic
0659..065F    ; Other_Alphabetic
0670          ; Other_Alphabetic
06D6..06DC    ; Other_Alphabetic
06E1..06E4    ; Other_Alphabetic
06E7..06E8    ; Other_Alphabetic
06ED          ; Other_Alphabetic
0711          ; Other_Alphabetic
0730..073F    ; Other_Alphabetic
07A6..07B0    ; Other_Alphabetic
0816..0817    ; Other_Alphabetic
081B..0823    ; Other_Alphabetic
0825..0827    ; Other_Alphabetic
0829..082C    ; Other_Alphabetic
0900..0902    ; Other_Alphabetic
0903          ; Other_Alphabetic
093A          ; Other_Alphabetic
093B          ; Other_Alphabetic
093E..0940    ; Other_Alphabetic
0941..0948    ; Other_Alphabetic
0949..094C    ; Other_Alphabetic
094E..094F    ; Other_Alphabetic
0955..0957    ; Other_Alphabetic
0962..0963    ; Other_Alphabetic
0981          ; Other_Alphabetic
0982..0983    ; Other_Alphabetic
09BE..09C0    ; Other_Alphabetic
09C1..09C4    ; Other_Alphabetic
09C7..09C8    ; Other_Alphabetic
09CB..09CC    ; Other_Alphabetic
09D7          ; Other_Alphabetic
09E2..09E3    ; Other_Alphabetic
0A01..0A02    ; Other_Alphabetic
0A03          ; Other_Alphabetic
0A3E..0A40    ; Other_Alphabetic
0A41..0A42    ; Other_Alphabetic
0A47..0A48    ; Other_Alphabetic
0A4B..0A4C    ; Other_Alphabetic
0A51          ; Other_Alphabetic
0A70..0A71    ; Other_Alphabetic
0A75          ; Other_Alphabetic
0A81..0A82    ; Other_Alphabetic
0A83          ; Other_Alphabetic
0ABE..0AC0    ; Other_Alphabetic
0AC1..0AC5    ; Other_Alphabetic
0AC7..0AC8    ; Other_Alphabetic
0AC9          ; Other_Alphabetic
0ACB..0ACC    ; Other_Alphabetic
0AE2..0AE3    ; Other_Alphabetic
0B01          ; Other_Alphabetic
0B02..0B03    ; Other_Alphabetic
0B3E          ; Other_Alphabetic
0B3F          ; Other_Alphabetic
0B40          ; Other_Alphabetic
0B41..0B44    ; Other_Alphabetic
0B47..0B48    ; Other_Alphabetic
0B4B..0B4C    ; Other_Alphabetic
0B56          ; Other_Alphabetic
0B57          ; Other_Alphabetic
0B62..0B63    ; Other_Alphabetic
0B82          ; Other_Alphabetic
0BBE..0BBF    ; Other_Alphabetic
0BC0          ; Other_Alphabetic
0BC1..0BC2    ; Other_Alphabetic
0BC6..0BC8    ; Other_Alphabetic
0BCA..0BCC    ; Other_Alphabetic
0BD7          ; Other_Alphabetic
0C01..0C03    ; Other_Alphabetic
0C3E..0C40    ; Other_Alphabetic
0C41..0C44    ; Other_Alphabetic
0C46..0C48    ; Other_Alphabetic
0C4A..0C4C    ; Other_Alphabetic
0C55..0C56    ; Other_Alphabetic
0C62..0C63    ; Other_Alphabetic
0C82..0C83    ; Other_Alphabetic
0CBE          ; Other_Alphabetic
0CBF          ; Other_Alphabetic
0CC0..0CC4    ; Other_Alphabetic
0CC6          ; Other_Alphabetic
0CC7..0CC8    ; Other_Alphabetic
0CCA..0CCB    ; Other_Alphabetic
0CCC          ; Other_Alphabetic
0CD5..0CD6    ; Other_Alphabetic
0CE2..0CE3    ; Other_Alphabetic
0D02..0D03    ; Other_Alphabetic
0D3E..0D40    ; Other_Alphabetic
0D41..0D44    ; Other_Alphabetic
0D46..0D48    ; Other_Alphabetic
0D4A..0D4C    ; Other_Alphabetic
0D57          ; Other_Alphabetic
0D62..0D63    ; Other_Alphabetic
0D82..0D83    ; Other_Alphabetic
0DCF..0DD1    ; Other_Alphabetic
0DD2..0DD4    ; Other_Alphabetic
0DD6          ; Other_Alphabetic
0DD8..0DDF    ; Other_Alphabetic
0DF2..0DF3    ; Other_Alphabetic
0E31          ; Other_Alphabetic
0E34..0E3A    ; Other_Alphabetic
