# Scripts-6.0.0.txt
# Date: 2010-08-19, 00:48:47 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Script

#  All code points not explicitly listed for Script
#  have the value Unknown (Zzzz).

# @missing: 0000..10FFFF; Unknown

# ================================================

0000..001F    ; Common
0020          ; Common
0021..0023    ; Common
0024          ; Common
0025..0027    ; Common
0028          ; Common
0029          ; Common
002A          ; Common
002B          ; Common
002C          ; Common
002D          ; Common
002E..002F    ; Common
0030..0039    ; Common
003A..003B    ; Common
003C..003E    ; Common
003F..0040    ; Common
005B          ; Common
005C          ; Common
005D          ; Common
005E          ; Common
005F          ; Common
0060          ; Common
007B          ; Common
007C          ; Common
007D          ; Common
007E          ; Common
007F..009F    ; Common
00A0          ; Common
00A1          ; Common
00A2..00A5    ; Common
00A6..00A7    ; Common
00A8          ; Common
00A9          ; Common
00AB          ; Common
00AC          ; Common
00AD          ; Common
00AE          ; Common
00AF          ; Common
00B0          ; Common
00B1          ; Common
00B2..00B3    ; Common
00B4          ; Common
00B5          ; Common
00B6          ; Common
00B7          ; Common
00B8          ; Common
00B9          ; Common
00BB          ; Common
00BC..00BE    ; Common
00BF          ; Common
00D7          ; Common
00F7          ; Common
02B9..02C1    ; Common
02C2..02C5    ; Common
02C6..02D1    ; Common
02D2..02DF    ; Common
02E5..02E9    ; Common
02EC          ; Common
02ED          ; Common
02EE          ; Common
02EF..02FF    ; Common
0374          ; Common
037E          ; Common
0385          ; Common
0387          ; Common
0589          ; Common
060C          ; Common
061B          ; Common
061F          ; Common
0640          ; Common
0660..0669    ; Common
06DD          ; Common
0964..0965    ; Common
0970          ; Common
0E3F          ; Common
0FD5..0FD8    ; Common
10FB          ; Common
16EB..16ED    ; Common
1735..1736    ; Common
1802..1803    ; Common
1805          ; Common
1CD3          ; Common
1CE1          ; Common
1CE9..1CEC    ; Common
1CEE..1CF1    ; Common
1CF2          ; Common
2000..200A    ; Common
200B          ; Common
200E..200F    ; Common
2010..2015    ; Common
2016..2017    ; Common
2018          ; Common
2019          ; Common
201A          ; Common
201B..201C    ; Common
201D          ; Common
201E          ; Common
201F          ; Common
2020..2027    ; Common
2028          ; Common
2029          ; Common
202A..202E    ; Common
202F          ; Common
2030..2038    ; Common
2039          ; Common
203A          ; Common
203B..203E    ; Common
203F..2040    ; Common
2041..2043    ; Common
2044          ; Common
2045          ; Common
2046          ; Common
2047..2051    ; Common
2052          ; Common
2053          ; Common
2054          ; Common
2055..205E    ; Common
205F          ; Common
2060..2064    ; Common
206A..206F    ; Common
2070          ; Common
2074..2079    ; Common
207A..207C    ; Common
207D          ; Common
207E          ; Common
2080..2089    ; Common
208A..208C    ; Common
208D          ; Common
208E          ; Common
20A0..20B9    ; Common
2100..2101    ; Common
2102          ; Common
2103..2106    ; Common
2107          ; Common
2108..2109    ; Common
210A..2113    ; Common
2114          ; Common
2115          ; Common
2116..2117    ; Common
2118          ; Common
2119..211D    ; Common
211E..2123    ; Common
2124          ; Common
2125          ; Common
2127          ; Common
2128          ; Common
2129          ; Common
212C..212D    ; Common
212E          ; Common
212F..2131    ; Common
2133..2134    ; Common
2135..2138    ; Common
2139          ; Common
213A..213B    ; Common
213C..213F    ; Common
2140..2144    ; Common
2145..2149    ; Common
214A          ; Common
214B          ; Common
214C..214D    ; Common
214F          ; Common
2150..215F    ; Common
2189          ; Common
2190..2194    ; Common
2195..2199    ; Common
219A..219B    ; Common
219C..219F    ; Common
21A0          ; Common
21A1..21A2    ; Common
21A3          ; Common
21A4..21A5    ; Common
21A6          ; Common
21A7..21AD    ; Common
21AE          ; Common
21AF..21CD    ; Common
21CE..21CF    ; Common
21D0..21D1    ; Common
21D2          ; Common
21D3          ; Common
21D4          ; Common
21D5..21F3    ; Common
21F4..22FF    ; Common
2300..2307    ; Common
2308..230B    ; Common
230C..231F    ; Common
