# SentenceBreakProperty-6.0.0.txt
# Date: 2010-08-19, 00:48:47 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

# ================================================

000A          ; LF

# Total code points: 1

# ================================================

0300..036F    ; Extend
0483..0487    ; Extend
0488..0489    ; Extend
0591..05BD    ; Extend
05BF          ; Extend
05C1..05C2    ; Extend
05C4..05C5    ; Extend
05C7          ; Extend
0610..061A    ; Extend
064B..065F    ; Extend
0670          ; Extend
06D6..06DC    ; Extend
06DF..06E4    ; Extend
06E7..06E8    ; Extend
06EA..06ED    ; Extend
0711          ; Extend
0730..074A    ; Extend
07A6..07B0    ; Extend
07EB..07F3    ; Extend
0816..0819    ; Extend
081B..0823    ; Extend
0825..0827    ; Extend
0829..082D    ; Extend
0859..085B    ; Extend
0900..0902    ; Extend
0903          ; Extend
093A          ; Extend
093B          ; Extend
093C          ; Extend
093E..0940    ; Extend
0941..0948    ; Extend
0949..094C    ; Extend
094D          ; Extend
094E..094F    ; Extend
0951..0957    ; Extend
0962..0963    ; Extend
0981          ; Extend
0982..0983    ; Extend
09BC          ; Extend
09BE..09C0    ; Extend
09C1..09C4    ; Extend
09C7..09C8    ; Extend
09CB..09CC    ; Extend
09CD          ; Extend
09D7          ; Extend
09E2..09E3    ; Extend
0A01..0A02    ; Extend
0A03          ; Extend
0A3C          ; Extend
0A3E..0A40    ; Extend
0A41..0A42    ; Extend
0A47..0A48    ; Extend
0A4B..0A4D    ; Extend
0A51          ; Extend
0A70..0A71    ; Extend
0A75          ; Extend
0A81..0A82    ; Extend
0A83          ; Extend
0ABC          ; Extend
0ABE..0AC0    ; Extend
0AC1..0AC5    ; Extend
0AC7..0AC8    ; Extend
0AC9          ; Extend
0ACB..0ACC    ; Extend
0ACD          ; Extend
0AE2..0AE3    ; Extend
0B01          ; Extend
0B02..0B03    ; Extend
0B3C          ; Extend
0B3E          ; Extend
0B3F          ; Extend
0B40          ; Extend
0B41..0B44    ; Extend
0B47..0B48    ; Extend
0B4B..0B4C    ; Extend
0B4D          ; Extend
0B56          ; Extend
0B57          ; Extend
0B62..0B63    ; Extend
0B82          ; Extend
0BBE..0BBF    ; Extend
0BC0          ; Extend
0BC1..0BC2    ; Extend
0BC6..0BC8    ; Extend
0BCA..0BCC    ; Extend
0BCD          ; Extend
0BD7          ; Extend
0C01..0C03    ; Extend
0C3E..0C40    ; Extend
