# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:25 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
06C3          ; Arab; Latn; L #      (ۃ)  ARABIC LETTER TEH MARBUTA GOAL

# Total code points: 2

# Armenian; Cyrillic: [ագզհյոռսօ]

0561          ; Armn; Cyrl; L #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Cyrl; L #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Cyrl; L #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Cyrl; L #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Cyrl; L #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Cyrl; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Cyrl; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Cyrl; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 9

# Armenian; Devanagari: [օ]

0585          ; Armn; Deva; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [ծոռսօ]

056E          ; Armn; Grek; L #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 5

# Armenian; Gujarati: [օ]

0585          ; Armn; Gujr; L #      (օ)  ARMENIAN SMALL LETTER OH

